url_path,views_total,views_unique
/TouK/nussknacker-quickstart,22,16
/TouK/nussknacker-quickstart/tree/main/common,18,4
/TouK/nussknacker-quickstart/tree/main/k8s-helm,10,2
/TouK/nussknacker-quickstart/tree/main/docker,8,3
/TouK/nussknacker-quickstart/tree/main/k8s-helm/additional,8,2
/TouK/nussknacker-quickstart/tree/main/docker/common/customerservice,8,1
/TouK/nussknacker-quickstart/blob/main/docker/streaming/nussknacker/nussknacker.conf,6,3
/TouK/nussknacker-quickstart/blob/main/docker/common/customerservice/main.py,6,2
/TouK/nussknacker-quickstart/blob/main/k8s-helm/values-streaming.yaml,6,2
/TouK/nussknacker-quickstart/tree/main/common/testData,6,1
