url_path,views_total,views_unique
/TouK/nussknacker-quickstart,53,23
/TouK/nussknacker-quickstart/tree/main/k8s-helm,9,5
/TouK/nussknacker-quickstart/tree/main/docker,8,5
/TouK/nussknacker-quickstart/pull/134/files,5,5
/TouK/nussknacker-quickstart/tree/main/docker/common,5,4
/TouK/nussknacker-quickstart/tree/main/common,3,2
/TouK/nussknacker-quickstart/tree/main/docker/streaming,3,1
/TouK/nussknacker-quickstart/blob/main/docker/common/docker-compose-custom.yml,2,2
/TouK/nussknacker-quickstart/blob/main/k8s-helm/install-streaming.sh,2,2
/TouK/nussknacker-quickstart/pull/134,2,2
