url_path,views_total,views_unique
/TouK/nussknacker-quickstart,23,8
/TouK/nussknacker-quickstart/pull/201,22,2
/TouK/nussknacker-quickstart/pull/201/files,18,2
/TouK/nussknacker-quickstart/actions,12,2
/TouK/nussknacker-quickstart/pull/201/checks,9,1
/TouK/nussknacker-quickstart/blob/main/docker-compose.yml,7,5
/TouK/nussknacker-quickstart/pulls,5,1
/TouK/nussknacker-quickstart/actions/runs/14180847556,4,1
/TouK/nussknacker-quickstart/actions/runs/14156549547,3,1
/TouK/nussknacker-quickstart/actions/runs/14267854931,3,1
