url_path,views_total,views_unique
/TouK/nussknacker-quickstart,12,10
/TouK/nussknacker-quickstart/tree/main/docker,7,3
/TouK/nussknacker-quickstart/tree/main/docker/common,7,2
/TouK/nussknacker-quickstart/actions/runs/5808710385,6,2
/TouK/nussknacker-quickstart/tree/main/docker/streaming,4,2
/TouK/nussknacker-quickstart/tree/main/common,3,1
/TouK/nussknacker-quickstart/tree/main/common/scripts,3,1
/TouK/nussknacker-quickstart/tree/main/docker/common/nginx,3,1
/TouK/nussknacker-quickstart/blob/main/common/scripts/runInKafka.sh,2,1
/TouK/nussknacker-quickstart/blob/main/docker/common/docker-compose-custom.yml,2,1
