url_path,views_total,views_unique
/TouK/nussknacker-quickstart/pull/209,43,3
/TouK/nussknacker-quickstart/pull/209/files,21,2
/TouK/nussknacker-quickstart,12,2
/TouK/nussknacker-quickstart/pulls,9,1
/TouK/nussknacker-quickstart/pull/209/checks,8,1
/TouK/nussknacker-quickstart/actions,6,2
/TouK/nussknacker-quickstart/pull/209/changes,4,1
/TouK/nussknacker-quickstart/actions/runs/20598100912/job/59157068469,3,1
/TouK/nussknacker-quickstart/actions/runs/20598881927,3,1
/TouK/nussknacker-quickstart/actions/workflows/pr.yml,3,1
