url_path,views_total,views_unique
/TouK/nussknacker-quickstart/pull/203,6,2
/TouK/nussknacker-quickstart/pulls,5,1
/TouK/nussknacker-quickstart,3,2
/TouK/nussknacker-quickstart/pull/203/files,3,2
/TouK/nussknacker-quickstart/actions,3,1
/TouK/nussknacker-quickstart/actions/runs/15131008090,1,1
/TouK/nussknacker-quickstart/actions/runs/15131008090/job/42531903991,1,1
/TouK/nussknacker-quickstart/compare/fix/NU-2212,1,1
/TouK/nussknacker-quickstart/compare/staging...fix/NU-2212,1,1
/TouK/nussknacker-quickstart/pull/183,1,1
