time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-09-23 00:00:00+00:00,2,1,3.0,2.0
2023-09-24 00:00:00+00:00,2,1,,
2023-09-25 00:00:00+00:00,12,1,,
2023-09-26 00:00:00+00:00,12,1,,
2023-09-27 00:00:00+00:00,9,3,11.0,3.0
2023-09-28 00:00:00+00:00,8,2,11.0,3.0
2023-09-29 00:00:00+00:00,22,1,17.0,3.0
2023-09-30 00:00:00+00:00,2,1,,
2023-10-01 00:00:00+00:00,2,1,1.0,1.0
2023-10-02 00:00:00+00:00,27,1,,
2023-10-03 00:00:00+00:00,37,1,1.0,1.0
2023-10-04 00:00:00+00:00,17,1,,
2023-10-05 00:00:00+00:00,17,1,1.0,1.0
2023-10-06 00:00:00+00:00,42,1,,
