url_path,views_total,views_unique
/TouK/nussknacker-quickstart,34,15
/TouK/nussknacker-quickstart/tree/main/k8s-helm,17,3
/TouK/nussknacker-quickstart/tree/main/common,16,3
/TouK/nussknacker-quickstart/tree/main/docker,13,4
/TouK/nussknacker-quickstart/blob/main/k8s-helm/values-streaming.yaml,13,3
/TouK/nussknacker-quickstart/pulls,11,4
/TouK/nussknacker-quickstart/pull/163,10,4
/TouK/nussknacker-quickstart/blob/main/k8s-helm/install-common.sh,8,3
/TouK/nussknacker-quickstart/pull/166,8,3
/TouK/nussknacker-quickstart/tree/main/docker/streaming,8,2
