url_path,views_total,views_unique
/TouK/nussknacker-quickstart/pull/202,19,2
/TouK/nussknacker-quickstart/pull/203,6,2
/TouK/nussknacker-quickstart,6,1
/TouK/nussknacker-quickstart/pull/202/files,5,2
/TouK/nussknacker-quickstart/pulls,5,1
/TouK/nussknacker-quickstart/tree/main/flink,4,1
/TouK/nussknacker-quickstart/pull/203/files,3,2
/TouK/nussknacker-quickstart/actions,3,1
/TouK/nussknacker-quickstart/blob/main/flink/flink-properties.yml,2,1
/TouK/nussknacker-quickstart/tree/old-quickstart/docker,2,1
