url_path,views_total,views_unique
/TouK/nussknacker-quickstart/tree/main/docker,33,2
/TouK/nussknacker-quickstart,17,10
/TouK/nussknacker-quickstart/pull/187,17,1
/TouK/nussknacker-quickstart/pull/186,13,2
/TouK/nussknacker-quickstart/pulls,13,2
/TouK/nussknacker-quickstart/tree/main/quickstart-setup/data,10,1
/TouK/nussknacker-quickstart/tree/main/quickstart-setup,9,1
/TouK/nussknacker-quickstart/blob/main/docker-compose.yml,8,3
/TouK/nussknacker-quickstart/tree/main,8,2
/TouK/nussknacker-quickstart/tree/staging/quickstart-setup/mocks/http-service/mocks,8,2
