url_path,views_total,views_unique
/TouK/nussknacker-quickstart/tree/zbyszek_example/examples/zbyszek-example,25,2
/TouK/nussknacker-quickstart/blob/main/docker-compose.yml,14,4
/TouK/nussknacker-quickstart/tree/zbyszek_example/examples/zbyszek-example/setup,14,2
/TouK/nussknacker-quickstart,11,10
/TouK/nussknacker-quickstart/tree/zbyszek_example,8,2
/TouK/nussknacker-quickstart/tree/zbyszek_example/examples/zbyszek-example/setup/schema-registry,8,2
/TouK/nussknacker-quickstart/tree/zbyszek_example/examples/zbyszek-example/setup/kafka,7,2
/TouK/nussknacker-quickstart/actions,6,1
/TouK/nussknacker-quickstart/tree/main/docker,6,1
/TouK/nussknacker-quickstart/tree/main/designer,5,3
