time_iso8601,stars_cumulative
2021-09-22 00:00:00+00:00,189
2021-09-24 00:00:00+00:00,190
2021-10-07 00:00:00+00:00,191
2021-10-21 00:00:00+00:00,192
2021-10-28 00:00:00+00:00,193
2021-11-02 00:00:00+00:00,194
2021-11-08 00:00:00+00:00,195
2021-12-04 00:00:00+00:00,197
2021-12-09 00:00:00+00:00,198
2021-12-10 00:00:00+00:00,199
2021-12-13 00:00:00+00:00,200
2021-12-14 00:00:00+00:00,201
2021-12-20 00:00:00+00:00,202
2021-12-21 00:00:00+00:00,204
2021-12-22 00:00:00+00:00,205
2021-12-23 00:00:00+00:00,206
2021-12-25 00:00:00+00:00,207
2021-12-27 00:00:00+00:00,208
2021-12-28 00:00:00+00:00,209
2022-01-01 00:00:00+00:00,210
2022-01-11 00:00:00+00:00,211
2022-01-14 00:00:00+00:00,212
2022-01-21 00:00:00+00:00,213
2022-01-27 00:00:00+00:00,214
2022-01-28 00:00:00+00:00,216
2022-02-01 00:00:00+00:00,217
2022-02-05 00:00:00+00:00,218
2022-02-06 00:00:00+00:00,219
2022-02-14 00:00:00+00:00,221
2022-02-16 00:00:00+00:00,222
2022-02-18 00:00:00+00:00,223
2022-02-25 00:00:00+00:00,224
2022-03-10 00:00:00+00:00,225
2022-03-16 00:00:00+00:00,226
2022-03-18 00:00:00+00:00,227
2022-04-02 00:00:00+00:00,228
2022-04-06 00:00:00+00:00,229
2022-04-07 00:00:00+00:00,230
2022-04-09 00:00:00+00:00,231
2022-04-11 00:00:00+00:00,233
2022-04-12 00:00:00+00:00,234
2022-04-13 00:00:00+00:00,236
2022-04-19 00:00:00+00:00,237
2022-04-22 00:00:00+00:00,238
2022-04-28 00:00:00+00:00,239
2022-04-29 00:00:00+00:00,240
2022-05-05 00:00:00+00:00,241
2022-05-07 00:00:00+00:00,242
2022-05-11 00:00:00+00:00,243
2022-05-17 00:00:00+00:00,247
2022-05-18 00:00:00+00:00,248
2022-05-21 00:00:00+00:00,249
2022-05-26 00:00:00+00:00,271
2022-05-27 00:00:00+00:00,273
2022-05-30 00:00:00+00:00,274
2022-05-31 00:00:00+00:00,275
2022-06-01 00:00:00+00:00,276
2022-06-08 00:00:00+00:00,277
2022-06-09 00:00:00+00:00,278
2022-06-10 00:00:00+00:00,279
2022-06-14 00:00:00+00:00,282
2022-06-15 00:00:00+00:00,283
2022-06-21 00:00:00+00:00,284
2022-06-26 00:00:00+00:00,285
2022-07-04 00:00:00+00:00,287
2022-07-05 00:00:00+00:00,289
2022-07-06 00:00:00+00:00,290
2022-07-07 00:00:00+00:00,291
2022-07-11 00:00:00+00:00,293
2022-07-14 00:00:00+00:00,294
2022-07-25 00:00:00+00:00,296
2022-08-01 00:00:00+00:00,297
2022-08-03 00:00:00+00:00,298
2022-08-08 00:00:00+00:00,299
2022-08-10 00:00:00+00:00,300
2022-08-12 00:00:00+00:00,301
2022-08-13 00:00:00+00:00,302
2022-08-15 00:00:00+00:00,303
