time_iso8601,stars_cumulative
2021-09-13 00:00:00+00:00,1
2022-03-18 00:00:00+00:00,2
2022-10-06 00:00:00+00:00,3
2023-01-12 00:00:00+00:00,4
2024-02-23 00:00:00+00:00,5
2024-05-14 00:00:00+00:00,6
2024-08-06 00:00:00+00:00,7
