time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-05-10 00:00:00+00:00,2,1,7,4
2023-05-11 00:00:00+00:00,12,1,3,3
2023-05-12 00:00:00+00:00,7,1,7,3
2023-05-13 00:00:00+00:00,2,1,5,2
2023-05-14 00:00:00+00:00,2,1,0,0
2023-05-15 00:00:00+00:00,2,1,8,2
2023-05-16 00:00:00+00:00,3,2,5,2
2023-05-17 00:00:00+00:00,4,3,30,6
2023-05-18 00:00:00+00:00,7,1,16,9
2023-05-19 00:00:00+00:00,27,1,49,3
2023-05-20 00:00:00+00:00,2,1,0,0
2023-05-21 00:00:00+00:00,4,2,1,1
2023-05-22 00:00:00+00:00,12,1,6,3
2023-05-23 00:00:00+00:00,3,2,0,0
2023-05-24 00:00:00+00:00,25,5,37,6
2023-05-25 00:00:00+00:00,3,2,1,1
2023-05-26 00:00:00+00:00,3,2,3,3
2023-05-27 00:00:00+00:00,3,2,3,2
2023-05-28 00:00:00+00:00,2,1,2,2
2023-05-29 00:00:00+00:00,24,3,0,0
2023-05-30 00:00:00+00:00,2,1,1,1
2023-05-31 00:00:00+00:00,27,1,1,1
2023-06-01 00:00:00+00:00,2,1,17,1
2023-06-02 00:00:00+00:00,12,1,0,0
2023-06-03 00:00:00+00:00,3,2,1,1
2023-06-04 00:00:00+00:00,2,1,0,0
2023-06-05 00:00:00+00:00,20,2,1,1
2023-06-06 00:00:00+00:00,3,2,5,3
2023-06-07 00:00:00+00:00,3,2,26,2
2023-06-08 00:00:00+00:00,3,2,2,2
2023-06-09 00:00:00+00:00,2,1,3,2
2023-06-10 00:00:00+00:00,2,1,0,0
2023-06-11 00:00:00+00:00,2,1,6,1
2023-06-12 00:00:00+00:00,13,2,0,0
2023-06-13 00:00:00+00:00,22,1,17,2
2023-06-14 00:00:00+00:00,8,2,16,4
2023-06-15 00:00:00+00:00,18,2,55,2
2023-06-16 00:00:00+00:00,3,2,84,4
2023-06-17 00:00:00+00:00,2,1,0,0
2023-06-18 00:00:00+00:00,3,2,0,0
2023-06-19 00:00:00+00:00,12,1,4,3
2023-06-20 00:00:00+00:00,18,2,26,4
2023-06-21 00:00:00+00:00,36,5,20,2
2023-06-22 00:00:00+00:00,14,3,0,0
2023-06-23 00:00:00+00:00,27,1,1,1
2023-06-24 00:00:00+00:00,2,1,18,1
2023-06-25 00:00:00+00:00,3,2,2,2
2023-06-26 00:00:00+00:00,18,2,0,0
2023-06-27 00:00:00+00:00,12,1,1,1
2023-06-28 00:00:00+00:00,22,1,9,2
2023-06-29 00:00:00+00:00,24,1,51,1
2023-06-30 00:00:00+00:00,2,1,2,2
2023-07-01 00:00:00+00:00,3,2,0,0
2023-07-02 00:00:00+00:00,2,1,0,0
2023-07-03 00:00:00+00:00,36,1,9,3
2023-07-04 00:00:00+00:00,4,3,24,4
2023-07-05 00:00:00+00:00,25,1,23,6
2023-07-06 00:00:00+00:00,32,2,3,2
2023-07-07 00:00:00+00:00,69,3,2,1
2023-07-08 00:00:00+00:00,2,1,29,3
2023-07-09 00:00:00+00:00,2,1,0,0
2023-07-10 00:00:00+00:00,88,6,4,3
2023-07-11 00:00:00+00:00,42,3,1,1
2023-07-12 00:00:00+00:00,7,1,2,1
2023-07-13 00:00:00+00:00,8,2,3,2
2023-07-14 00:00:00+00:00,7,1,2,2
2023-07-15 00:00:00+00:00,3,2,1,1
2023-07-16 00:00:00+00:00,7,1,7,1
2023-07-17 00:00:00+00:00,3,2,0,0
2023-07-18 00:00:00+00:00,3,2,2,2
2023-07-19 00:00:00+00:00,7,1,3,2
2023-07-20 00:00:00+00:00,2,1,14,2
2023-07-21 00:00:00+00:00,2,1,30,2
2023-07-22 00:00:00+00:00,7,1,0,0
2023-07-23 00:00:00+00:00,3,2,2,2
2023-07-24 00:00:00+00:00,2,1,21,1
2023-07-25 00:00:00+00:00,2,1,2,1
2023-07-26 00:00:00+00:00,3,1,30,2
2023-07-27 00:00:00+00:00,22,1,23,1
2023-07-28 00:00:00+00:00,14,2,1,1
2023-07-29 00:00:00+00:00,2,1,1,1
2023-07-30 00:00:00+00:00,2,1,0,0
2023-07-31 00:00:00+00:00,36,2,3,3
2023-08-01 00:00:00+00:00,40,4,2,2
2023-08-02 00:00:00+00:00,8,2,37,3
2023-08-03 00:00:00+00:00,7,1,77,3
2023-08-04 00:00:00+00:00,2,1,31,2
2023-08-05 00:00:00+00:00,2,1,1,1
2023-08-06 00:00:00+00:00,3,2,1,1
2023-08-07 00:00:00+00:00,13,2,43,5
2023-08-08 00:00:00+00:00,4,3,40,2
2023-08-09 00:00:00+00:00,27,5,56,5
2023-08-10 00:00:00+00:00,17,1,6,1
2023-08-11 00:00:00+00:00,41,3,27,4
2023-08-12 00:00:00+00:00,2,1,1,1
2023-08-13 00:00:00+00:00,3,2,15,2
2023-08-14 00:00:00+00:00,12,4,18,4
2023-08-15 00:00:00+00:00,5,2,11,3
2023-08-16 00:00:00+00:00,7,1,5,3
2023-08-17 00:00:00+00:00,34,3,107,2
2023-08-18 00:00:00+00:00,92,4,12,3
2023-08-19 00:00:00+00:00,3,2,8,1
2023-08-20 00:00:00+00:00,2,1,0,0
2023-08-21 00:00:00+00:00,62,8,21,3
2023-08-22 00:00:00+00:00,13,1,2,1
2023-08-23 00:00:00+00:00,13,2,0,0
2023-08-24 00:00:00+00:00,18,2,6,1
2023-08-25 00:00:00+00:00,12,1,45,5
2023-08-26 00:00:00+00:00,2,1,0,0
2023-08-27 00:00:00+00:00,2,1,0,0
2023-08-28 00:00:00+00:00,3,2,0,0
2023-08-29 00:00:00+00:00,9,2,1,1
2023-08-30 00:00:00+00:00,13,2,39,1
2023-08-31 00:00:00+00:00,19,3,9,3
2023-09-01 00:00:00+00:00,12,1,2,1
2023-09-02 00:00:00+00:00,4,2,0,0
2023-09-03 00:00:00+00:00,3,2,49,1
2023-09-04 00:00:00+00:00,13,2,8,3
2023-09-05 00:00:00+00:00,7,1,53,5
2023-09-06 00:00:00+00:00,22,1,58,3
2023-09-07 00:00:00+00:00,4,2,14,6
2023-09-08 00:00:00+00:00,16,3,9,3
2023-09-09 00:00:00+00:00,3,2,1,1
2023-09-10 00:00:00+00:00,2,1,0,0
2023-09-11 00:00:00+00:00,12,1,20,3
2023-09-12 00:00:00+00:00,24,3,7,3
2023-09-13 00:00:00+00:00,34,3,18,3
2023-09-14 00:00:00+00:00,9,3,35,3
2023-09-15 00:00:00+00:00,17,1,7,3
2023-09-16 00:00:00+00:00,3,2,2,1
2023-09-17 00:00:00+00:00,2,1,1,1
2023-09-18 00:00:00+00:00,14,3,3,2
2023-09-19 00:00:00+00:00,7,1,33,4
2023-09-20 00:00:00+00:00,11,3,23,6
2023-09-21 00:00:00+00:00,17,1,57,6
2023-09-22 00:00:00+00:00,2,1,14,3
2023-09-23 00:00:00+00:00,2,1,3,2
2023-09-24 00:00:00+00:00,2,1,0,0
2023-09-25 00:00:00+00:00,12,1,0,0
2023-09-26 00:00:00+00:00,12,1,0,0
2023-09-27 00:00:00+00:00,9,3,11,3
2023-09-28 00:00:00+00:00,8,2,11,3
2023-09-29 00:00:00+00:00,22,1,17,3
2023-09-30 00:00:00+00:00,2,1,0,0
2023-10-01 00:00:00+00:00,2,1,1,1
2023-10-02 00:00:00+00:00,27,1,0,0
2023-10-03 00:00:00+00:00,37,1,1,1
2023-10-04 00:00:00+00:00,17,1,0,0
2023-10-05 00:00:00+00:00,17,1,1,1
2023-10-06 00:00:00+00:00,42,1,0,0
2023-10-07 00:00:00+00:00,2,1,89,1
2023-10-08 00:00:00+00:00,2,1,0,0
2023-10-09 00:00:00+00:00,4,2,11,4
2023-10-10 00:00:00+00:00,12,1,36,4
2023-10-11 00:00:00+00:00,12,1,38,2
2023-10-12 00:00:00+00:00,12,1,18,2
2023-10-13 00:00:00+00:00,22,1,2,1
2023-10-14 00:00:00+00:00,3,2,4,1
2023-10-15 00:00:00+00:00,2,1,15,1
2023-10-16 00:00:00+00:00,24,3,12,5
2023-10-17 00:00:00+00:00,11,5,81,7
2023-10-18 00:00:00+00:00,17,1,58,5
2023-10-19 00:00:00+00:00,4,3,53,5
2023-10-20 00:00:00+00:00,17,1,5,3
2023-10-21 00:00:00+00:00,2,1,29,3
