url_path,views_total,views_unique
/TouK/nussknacker-card-example,5,2
/TouK/nussknacker-card-example/blob/main/schemas/cain.002.response-value.json,3,2
/TouK/nussknacker-card-example/tree/main/schemas,3,2
/TouK/nussknacker-card-example/tree/main/model,2,2
/TouK/nussknacker-card-example/pulls,2,1
/TouK/nussknacker-card-example/blob/5e4cd5635bb36fef675f842d29a748be61e592c7/docker/docker-compose.yml,1,1
/TouK/nussknacker-card-example/blob/main/CardTransaction.json,1,1
/TouK/nussknacker-card-example/blob/main/docker/docker-compose.yml,1,1
/TouK/nussknacker-card-example/blob/main/model/conda.txt,1,1
/TouK/nussknacker-card-example/blob/main/model/serve/Dockerfile,1,1
