time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-09-07 00:00:00+00:00,3.0,2.0,4,1
2023-09-08 00:00:00+00:00,,,2,1
2023-09-20 00:00:00+00:00,,,2,1
