url_path,views_total,views_unique
/TouK/nussknacker-helm/tree/main/src,18,2
/TouK/nussknacker-helm/blob/main/src/Chart.yaml,12,2
/TouK/nussknacker-helm/tree/main/src/templates,9,2
/TouK/nussknacker-helm/blob/main/setup.sh,8,2
/TouK/nussknacker-helm/blob/main/build-deploy-verify.sh,6,2
/TouK/nussknacker-helm/tree/main/.k3d,5,2
/TouK/nussknacker-helm,4,3
/TouK/nussknacker-helm/blob/main/.k3d/single-cluster.yml,4,2
/TouK/nussknacker-helm/blob/main/src/README.md,4,2
/TouK/nussknacker-helm/blob/main/src/values.yaml,4,2
