url_path,views_total,views_unique
/TouK/nussknacker-flink-compatibility,8,5
/TouK/nussknacker-flink-compatibility/pull/42,5,1
/TouK/nussknacker-flink-compatibility/pulls,3,2
/TouK/nussknacker-flink-compatibility/branches/all,2,1
/TouK/nussknacker-flink-compatibility/compare/release/1.12,2,1
/TouK/nussknacker-flink-compatibility/issues,2,1
/TouK/nussknacker-flink-compatibility/actions,1,1
/TouK/nussknacker-flink-compatibility/actions/runs/6614717403/job/17965283502,1,1
/TouK/nussknacker-flink-compatibility/branches,1,1
/TouK/nussknacker-flink-compatibility/branches/stale,1,1
