url_path,views_total,views_unique
/TouK/nussknacker-sample-components/tree/main/docker,18,4
/TouK/nussknacker-sample-components/tree/main,13,4
/TouK/nussknacker-sample-components/blob/main/docker/Dockerfile,10,5
/TouK/nussknacker-sample-components/tree/main/gradle/wrapper,10,3
/TouK/nussknacker-sample-components/tree/main/components,9,4
/touk/nussknacker-sample-components,8,7
/TouK/nussknacker-sample-components/tree/main/lite-components,8,3
/TouK/nussknacker-sample-components/blob/main/components/src/main/scala/pl/touk/nussknacker/sample/SampleComponentProvider.scala,8,2
/TouK/nussknacker-sample-components/tree/main/components/src/main,7,3
/TouK/nussknacker-sample-components/tree/main/components/src/main/scala/pl/touk/nussknacker/sample,7,3
