url_path,views_total,views_unique
/TouK/nussknacker-sample-components/blob/main/flink-components/src/main/scala/pl/touk/nussknacker/sample/FlinkSampleComponentProvider.scala,13,3
/TouK/nussknacker-sample-components/tree/main/flink-components,12,2
/TouK/nussknacker-sample-components/tree/main/project,10,2
/TouK/nussknacker-sample-components/blob/main/components/src/main/scala/pl/touk/nussknacker/sample/SampleComponentProvider.scala,9,3
/TouK/nussknacker-sample-components/tree/main/flink-components/src/main/scala/pl/touk/nussknacker/sample/csv,9,1
/TouK/nussknacker-sample-components/blob/main/flink-components/build.gradle.kts,8,2
/touk/nussknacker-sample-components,7,4
/TouK/nussknacker-sample-components/tree/main/components/src/main/scala/pl/touk/nussknacker/sample,7,3
/TouK/nussknacker-sample-components,7,2
/TouK/nussknacker-sample-components/tree/main/flink-components/src,7,2
