referrer,views_total,views_unique
github.com,320,31
nussknacker.io,133,44
Google,39,16
statics.teams.cdn.office.net,5,2
mail.google.com,5,1
m.facebook.com,4,1
touk.pl,2,1
com.twitter.android,2,1
DuckDuckGo,2,1
l.facebook.com,1,1
