referrer,views_total,views_unique
Google,222,30
github.com,150,29
nussknacker.io,86,36
cwiki.apache.org,22,3
mail.google.com,4,1
jira.playmobile.pl,3,2
statics.teams.cdn.office.net,2,1
yandex.ru,1,1
chatgpt.com,1,1
touk-jira.atlassian.net,1,1
