time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-22 00:00:00+00:00,181,10,186,25
2024-05-23 00:00:00+00:00,143,10,252,31
2024-05-24 00:00:00+00:00,256,16,187,18
2024-05-25 00:00:00+00:00,115,14,17,11
2024-05-26 00:00:00+00:00,83,10,29,9
2024-05-27 00:00:00+00:00,138,7,285,36
2024-05-28 00:00:00+00:00,219,10,169,21
2024-05-29 00:00:00+00:00,141,9,143,18
2024-05-30 00:00:00+00:00,80,6,31,15
2024-05-31 00:00:00+00:00,184,14,161,11
2024-06-01 00:00:00+00:00,78,5,32,7
2024-06-02 00:00:00+00:00,82,10,20,6
2024-06-03 00:00:00+00:00,163,14,145,23
2024-06-04 00:00:00+00:00,200,13,151,16
