referrer,views_total,views_unique
github.com,136,24
nussknacker.io,70,35
Google,52,31
cwiki.apache.org,20,3
mail.google.com,4,1
jira.playmobile.pl,3,2
statics.teams.cdn.office.net,2,1
yandex.ru,1,1
chatgpt.com,1,1
touk-jira.atlassian.net,1,1
