time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-06 00:00:00+00:00,74,13,23,8
2025-07-07 00:00:00+00:00,235,30,136,14
2025-07-08 00:00:00+00:00,506,63,138,16
2025-07-09 00:00:00+00:00,280,20,225,17
2025-07-10 00:00:00+00:00,443,73,243,19
2025-07-11 00:00:00+00:00,545,69,116,12
2025-07-12 00:00:00+00:00,53,8,77,6
2025-07-13 00:00:00+00:00,74,23,43,7
2025-07-14 00:00:00+00:00,250,28,153,17
2025-07-15 00:00:00+00:00,229,35,118,21
2025-07-16 00:00:00+00:00,303,24,134,24
2025-07-17 00:00:00+00:00,86,12,79,14
2025-07-18 00:00:00+00:00,460,33,244,23
2025-07-19 00:00:00+00:00,26,4,9,5
