time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-30 00:00:00+00:00,313,113,114,14
2025-10-01 00:00:00+00:00,418,53,126,15
2025-10-02 00:00:00+00:00,164,65,77,10
2025-10-03 00:00:00+00:00,165,27,54,14
2025-10-04 00:00:00+00:00,83,47,22,9
2025-10-05 00:00:00+00:00,115,49,21,13
2025-10-06 00:00:00+00:00,334,67,127,21
2025-10-07 00:00:00+00:00,323,41,124,19
2025-10-08 00:00:00+00:00,243,25,133,72
2025-10-09 00:00:00+00:00,331,79,141,92
2025-10-10 00:00:00+00:00,642,82,129,95
2025-10-11 00:00:00+00:00,181,45,81,70
2025-10-12 00:00:00+00:00,111,49,65,57
2025-10-13 00:00:00+00:00,244,60,211,68
