referrer,views_total,views_unique
Google,100,29
github.com,82,26
nussknacker.io,32,16
touk-jira.atlassian.net,16,3
chatgpt.com,5,1
Bing,3,2
nussknacker.medium.com,3,1
mail.google.com,3,1
DuckDuckGo,2,2
search.brave.com,2,1
