referrer,views_total,views_unique
github.com,98,26
Google,97,17
mail.google.com,21,1
nussknacker.io,17,10
Bing,3,2
cn.bing.com,3,1
search.brave.com,2,1
yandex.ru,1,1
touk-jira.atlassian.net,1,1
jira.playmobile.pl,1,1
