time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-06-26 00:00:00+00:00,455,16,313,29
2024-06-27 00:00:00+00:00,261,15,193,32
2024-06-28 00:00:00+00:00,236,13,224,15
2024-06-29 00:00:00+00:00,43,4,9,6
2024-06-30 00:00:00+00:00,37,6,24,7
2024-07-01 00:00:00+00:00,168,10,232,24
2024-07-02 00:00:00+00:00,339,13,172,20
2024-07-03 00:00:00+00:00,164,4,120,21
2024-07-04 00:00:00+00:00,301,11,134,15
2024-07-05 00:00:00+00:00,229,8,114,23
2024-07-06 00:00:00+00:00,46,4,59,11
2024-07-07 00:00:00+00:00,44,2,7,5
2024-07-08 00:00:00+00:00,477,11,240,16
2024-07-09 00:00:00+00:00,421,11,240,20
