referrer,views_total,views_unique
nussknacker.io,363,154
github.com,280,41
Google,46,18
jira.playmobile.pl,7,2
com.google.android.gm,4,2
yandex.ru,2,1
touk.pl,2,1
DuckDuckGo,2,1
statics.teams.cdn.office.net,2,1
linkedin.com,1,1
