url_path,views_total,views_unique
/TouK/nussknacker,141,104
/TouK/nussknacker/pulls,105,16
/TouK/nussknacker/stargazers,53,3
/TouK/nussknacker/blob/staging/nussknacker-dist/src/universal/conf/dev-application.conf,29,5
/TouK/nussknacker/actions,28,3
/TouK/nussknacker/pull/6563,17,3
/TouK/nussknacker/blob/2ceb4e8c8c1bd98f70d9d593d26f2420870c6f0b/designer/client/src/components/graph/node-modal/editors/expression/DictParameterEditor/DictParameterEditor.tsx,16,2
/TouK/nussknacker/blob/staging/nussknacker-dist/src/universal/conf/application.conf,15,2
/TouK/nussknacker/pull/6575,15,2
/TouK/nussknacker/pull/6578,14,5
