time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-06-22 00:00:00+00:00,178,24,13,9
2024-06-23 00:00:00+00:00,199,22,32,8
2024-06-24 00:00:00+00:00,246,21,241,21
2024-06-25 00:00:00+00:00,405,24,158,30
2024-06-26 00:00:00+00:00,455,16,313,29
2024-06-27 00:00:00+00:00,261,15,193,32
2024-06-28 00:00:00+00:00,236,13,224,15
2024-06-29 00:00:00+00:00,43,4,9,6
2024-06-30 00:00:00+00:00,37,6,24,7
2024-07-01 00:00:00+00:00,168,10,232,24
2024-07-02 00:00:00+00:00,339,13,172,20
2024-07-03 00:00:00+00:00,164,4,120,21
2024-07-04 00:00:00+00:00,301,11,134,15
2024-07-05 00:00:00+00:00,211,7,109,23
