referrer,views_total,views_unique
Google,78,23
nussknacker.io,60,17
github.com,31,16
chatgpt.com,15,2
Bing,4,1
Baidu,2,2
m.sogou.com,2,2
libhunt.com,1,1
search.brave.com,1,1
