time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-03-07 00:00:00+00:00,233,19,189,23
2023-03-08 00:00:00+00:00,835,13,242,34
2023-03-09 00:00:00+00:00,182,8,339,37
2023-03-10 00:00:00+00:00,411,12,341,24
2023-03-11 00:00:00+00:00,62,4,48,11
2023-03-12 00:00:00+00:00,63,8,27,8
2023-03-13 00:00:00+00:00,339,10,194,21
2023-03-14 00:00:00+00:00,275,10,158,26
2023-03-15 00:00:00+00:00,745,9,144,32
2023-03-16 00:00:00+00:00,667,9,123,30
2023-03-17 00:00:00+00:00,315,14,160,22
2023-03-18 00:00:00+00:00,47,5,110,39
2023-03-19 00:00:00+00:00,64,12,92,59
2023-03-20 00:00:00+00:00,469,11,219,30
