time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-03 00:00:00+00:00,522,29,251,26
2025-06-04 00:00:00+00:00,622,28,354,23
2025-06-05 00:00:00+00:00,621,28,174,17
2025-06-06 00:00:00+00:00,247,17,164,17
2025-06-07 00:00:00+00:00,38,5,6,4
2025-06-08 00:00:00+00:00,133,15,65,8
2025-06-09 00:00:00+00:00,683,37,247,18
2025-06-10 00:00:00+00:00,415,31,254,30
2025-06-11 00:00:00+00:00,386,23,211,27
2025-06-12 00:00:00+00:00,585,35,329,14
2025-06-13 00:00:00+00:00,174,30,178,25
2025-06-14 00:00:00+00:00,33,6,7,7
2025-06-15 00:00:00+00:00,37,12,8,7
2025-06-16 00:00:00+00:00,488,32,385,20
