referrer,views_total,views_unique
github.com,269,42
nussknacker.io,251,78
Google,73,24
touk.pl,9,2
mail.google.com,7,1
search.brave.com,4,2
jdon.com,3,2
Bing,2,2
manuzhang.github.io,1,1
cwiki.apache.org,1,1
