referrer,views_total,views_unique
nussknacker.io,366,144
github.com,323,46
Google,51,22
Bing,5,1
jira.playmobile.pl,4,2
touk.pl,2,1
search.brave.com,1,1
com.google.android.gm,1,1
jira.sysmanagement.it,1,1
